sepalLength	sepalWidth	petalLength	petalWidth	species
95	10000	1.4	0.2	PSGarcia
94	9500	1.4	0.2	PSGarcia
93	9000	1.3	0.2	PSGarcia
92	8500	1.5	0.2	PSGarcia
91	8000	1.4	0.2	PSGarcia
90	7500	1.7	0.4	PSGarcia
89	7000	4.6	1.4	Vultur
88	6500	4	1.2	Vultur
87	6000	3.3	1	Vultur
86	5500	4.2	1.3	Vultur
85	5000	4.2	1.2	Vultur
84	4500	4.2	1.3	Vultur
83	4000	3	1.1	GarageWineCo
82	3500	4.1	1.3	GarageWineCo
81	3000	6	2.5	GarageWineCo
80	2500	5.1	1.9	GarageWineCo
79	2000	5.9	2.1	GarageWineCo
78	1500	5.6	1.8	GarageWineCo
