sepalLength	sepalWidth	petalLength	petalWidth	species
5.1	3.5	1.4	0.2	PSGarcia
4.9	3.0	1.4	0.2	PSGarcia
4.7	3.2	1.3	0.2	PSGarcia
4.6	3.1	1.5	0.2	PSGarcia
5.0	3.6	1.4	0.2	PSGarcia
5.4	3.9	1.7	0.4	PSGarcia
6.1	3.0	4.6	1.4	Vultur
5.8	2.6	4.0	1.2	Vultur
5.0	2.3	3.3	1.0	Vultur
5.6	2.7	4.2	1.3	Vultur
5.7	3.0	4.2	1.2	Vultur
5.7	2.9	4.2	1.3	Vultur
5.1	2.5	3.0	1.1	GarageWineCo
5.7	2.8	4.1	1.3	GarageWineCo
6.3	3.3	6.0	2.5	GarageWineCo
5.8	2.7	5.1	1.9	GarageWineCo
7.1	3.0	5.9	2.1	GarageWineCo
6.3	2.9	5.6	1.8	GarageWineCo
