sepalLength	sepalWidth	petalLength	petalWidth	species
2015	97	1.4	0.2	WS
2015	96	1.5	0.3	WS
2015	96	1.6	0.4	WS
2005	95	1.7	0.5	WS
2008	96	1.8	0.6	WS
2016	96	1.9	0.7	WS
2015	95	1.10	0.8	WS
2016	95	1.11	0.9	WS
2016	95	1.12	0.10	WS
2016	95	1.13	0.11	WS
2013	95	1.14	0.12	WS
2017	96	1.15	0.13	WS
2013	96	1.16	0.14	WS
2016	98	1.17	0.15	WS
2013	97	1.18	0.16	WS
2015	95	1.19	0.17	WS
2013	95	1.20	0.18	WS
2015	97	1.21	0.19	WS
2016	94	1.22	0.20	WS
2015	95	1.23	0.21	WS
2016	93	1.24	0.22	WS
2012	94	1.25	0.23	WS
2016	98	1.26	0.24	WS
2015	97	1.27	0.25	WS
2016	94	1.28	0.26	WS
2015	94	1.29	0.27	WS
NV	93	1.30	0.28	WS
2016	93	1.31	0.29	WS
2015	92	1.32	0.30	WS
2015	94	1.33	0.31	WS
2016	95	1.34	0.32	WS
2017	92	1.35	0.33	WS
2015	94	1.36	0.34	WS
2016	94	1.37	0.35	WS
2016	92	1.38	0.36	WS
2016	93	1.39	0.37	WS
NV	92	1.40	0.38	WS
2015	95	1.41	0.39	WS
2016	93	1.42	0.40	WS
2016	91	1.43	0.41	WS
2014	94	1.44	0.42	WS
2015	92	1.45	0.43	WS
2015	91	1.46	0.44	WS
2016	91	1.47	0.45	WS
2015	92	1.48	0.46	WS
2017	92	1.49	0.47	WS
2017	91	1.50	0.48	WS
2016	91	1.51	0.49	WS
2016	91	1.52	0.50	WS
2015	93	1.53	0.51	WS
2015	95	1.54	0.52	WS
2015	98	1.55	0.53	WS
2015	93	1.56	0.54	WS
2013	93	1.57	0.55	WS
2015	95	1.58	0.56	WS
2017	90	1.59	0.57	WS
2017	93	1.60	0.58	WS
2015	92	1.61	0.59	WS
2008	93	1.62	0.60	WS
2015	95	1.63	0.61	WS
2016	92	1.64	0.62	WS
2017	90	1.65	0.63	WS
2015	93	1.66	0.64	WS
2017	90	1.67	0.65	WS
2017	90	1.68	0.66	WS
2016	91	1.69	0.67	WS
2017	90	1.70	0.68	WS
2015	90	1.71	0.69	WS
2015	92	1.72	0.70	WS
2016	90	1.73	0.71	WS
2015	95	1.74	0.72	WS
2016	90	1.75	0.73	WS
2017	90	1.76	0.74	WS
2016	93	1.77	0.75	WS
2016	90	1.78	0.76	WS
2014	91	1.79	0.77	WS
2015	98	1.80	0.78	WS
2016	91	1.81	0.79	WS
2015	95	1.82	0.80	WS
2015	92	1.83	0.81	WS
2017	90	1.84	0.82	WS
2016	90	1.85	0.83	WS
2017	90	1.86	0.84	WS
2015	97	1.87	0.85	WS
2015	93	1.88	0.86	WS
2017	92	1.89	0.87	WS
2014	91	1.90	0.88	WS
2014	93	1.91	0.89	WS
2016	93	1.92	0.90	WS
2016	97	1.93	0.91	WS
2015	92	1.94	0.92	WS
2016	95	1.95	0.93	WS
2017	90	1.96	0.94	WS
2015	94	1.97	0.95	WS
2016	90	1.98	0.96	WS
2013	95	1.99	0.97	WS
2016	91	1.100	0.98	WS
2016	92	1.101	0.99	WS
2016	90	1.102	0.100	WS
2014	92	1.103	0.101	WS

